id;area;space;main_part;sub_part;name;recognize_type;recognize_content;site;line;source;serial_number;install_date;status;device_model;create_time;update_time;remark
1;40492;generate Station;compress;Liaison Soft;SQL Bermudian Dollar (customarily known as Bermuda Dollar) attitude;27193;30906;hacking Lights Beauty;Handmade Metal Fish tan;Tasty Customer Armenian Dram;knowledge base Lake Buckinghamshire;2020-11-19;42503;non-volatile e-services;2020-11-19;2020-11-19;Reverse-engineered
2;87721;Down-sized;throughput lavender Executive;Lithuanian Litas Credit Card Account Argentina;International hybrid;92761;61076;Electronics Integration;cohesive;payment Codes specifically reserved for testing purposes;Rubber cross-platform;2020-11-19;21961;Usability monetize Intranet;2020-11-19;2020-11-19;Keyboard SCSI
3;45998;Land;Nebraska;transmitter web-enabled;Front-line Fantastic Corporate;66519;46206;intermediate;zero tolerance Technician;Borders;Switchable Spurs;2020-11-19;8147;Handcrafted Steel Table Savings Account Fresh;2020-11-19;2020-11-19;seize Assistant
4;25341;Italy;Sausages Money Market Account;Plastic invoice;payment parsing Personal Loan Account;48159;43615;azure contextually-based;knowledge base Officer;heuristic Optional;5th generation matrix ivory;2020-11-19;60926;Chips;2020-11-20;2020-11-20;green
5;8491;Industrial Pizza Direct;open-source GB reboot;FTP Incredible infomediaries;Handcrafted Plastic Car Car Delaware;42900;79146;Ramp;Borders Kentucky;gold Rubber compress;withdrawal Azerbaijan;2020-11-19;71636;Uruguay wireless Awesome Rubber Gloves;2020-11-19;2020-11-19;withdrawal copying RAM
6;55496;Customer Directives;metrics Moldova Multi-tiered;Grass-roots;Fantastic SDD;36041;18887;Associate Prairie;Implementation Granite Group;Bahraini Dinar matrix British Indian Ocean Territory (Chagos Archipelago);Computer open-source deliverables;2020-11-19;44703;back-end;2020-11-19;2020-11-19;Mauritius Boliviano Mvdol Assistant
7;34175;Tools Buckinghamshire;compress bandwidth;productize Money Market Account Metal;Markets panel deposit;21314;96441;Costa Rican Colon reboot;generate optimal Strategist;Developer SMTP;infrastructures optical;2020-11-19;85208;Mouse;2020-11-19;2020-11-19;Generic Steel Towels product connecting
8;64623;input;circuit iterate;driver;navigating;78427;92936;visualize Sleek Cotton Computer National;Chilean Peso Unidades de fomento;THX Berkshire Licensed Granite Fish;bandwidth;2020-11-19;36015;Handmade Cotton Soap 1080p violet;2020-11-19;2020-11-19;Refined Cotton Pizza
9;49000;Exclusive Mauritania frictionless;magenta;Falkland Islands (Malvinas) world-class Louisiana;back up orange;41702;36513;purple;paradigms connecting withdrawal;Tugrik;methodology bricks-and-clicks;2020-11-19;50917;payment schemas;2020-11-19;2020-11-19;Incredible
10;58654;initiatives;Wyoming;web-enabled migration technologies;technologies Cedi;21645;33157;backing up Ethiopian Birr;Hawaii customized;Fantastic Metal Bacon De-engineered;invoice Union;2020-11-19;83197;Group Buckinghamshire;2020-11-19;2020-11-19;contingency
